vi vj e
0 6 1
0 117 1
0 135 1
0 513 1
0 535 1
0 574 1
0 585 1
1 23 1
1 93 1
1 141 1
1 165 1
1 197 1
1 242 1
1 387 1
1 400 1
1 487 1
1 526 1
2 12 1
2 120 1
2 173 1
2 311 1
2 441 1
2 552 1
3 6 1
3 25 1
3 171 1
3 172 1
3 181 1
3 196 1
3 557 1
3 558 1
3 562 1
4 66 1
4 67 1
4 243 1
4 262 1
4 270 1
4 294 1
4 395 1
4 396 1
4 483 1
4 485 1
5 27 1
5 85 1
5 126 1
5 322 1
5 387 1
5 488 1
5 517 1
5 543 1
5 555 1
5 602 1
6 113 1
6 120 1
6 223 1
6 302 1
6 311 1
6 318 1
6 491 1
6 503 1
6 521 1
6 575 1
6 604 1
6 608 1
7 147 1
7 150 1
7 286 1
7 293 1
7 340 1
7 365 1
7 376 1
7 398 1
8 34 1
8 263 1
8 541 1
8 556 1
9 13 1
9 92 1
9 161 1
9 253 1
9 258 1
9 322 1
10 61 1
10 269 1
10 291 1
10 332 1
10 364 1
10 395 1
10 505 1
10 585 1
10 608 1
11 33 1
11 78 1
11 141 1
11 153 1
11 251 1
11 391 1
11 409 1
11 597 1
12 28 1
12 79 1
12 80 1
12 133 1
12 160 1
12 253 1
12 268 1
12 287 1
12 345 1
12 433 1
12 538 1
12 621 1
13 70 1
13 71 1
13 84 1
13 194 1
13 274 1
13 300 1
13 496 1
13 504 1
13 591 1
14 62 1
14 109 1
14 226 1
14 405 1
14 479 1
15 180 1
15 258 1
15 397 1
15 424 1
15 437 1
15 466 1
15 478 1
15 594 1
15 609 1
16 62 1
16 88 1
16 150 1
16 171 1
16 259 1
16 350 1
16 428 1
16 501 1
16 586 1
17 64 1
17 154 1
17 224 1
17 428 1
17 493 1
17 502 1
18 489 1
19 7 1
19 51 1
19 163 1
19 234 1
19 290 1
19 400 1
19 419 1
19 586 1
19 624 1
20 11 1
20 53 1
20 248 1
20 556 1
21 4 1
21 12 1
21 24 1
21 45 1
21 116 1
21 193 1
21 486 1
21 487 1
21 490 1
21 522 1
21 574 1
21 575 1
22 123 1
22 244 1
22 394 1
22 433 1
22 462 1
22 520 1
22 536 1
22 590 1
23 39 1
23 79 1
23 132 1
23 145 1
23 165 1
23 198 1
23 226 1
23 271 1
23 288 1
23 596 1
24 50 1
24 196 1
24 198 1
24 359 1
24 379 1
24 433 1
24 612 1
25 34 1
25 352 1
25 552 1
25 569 1
26 16 1
26 38 1
26 199 1
26 202 1
26 271 1
26 424 1
27 43 1
27 68 1
27 109 1
27 183 1
27 197 1
27 215 1
27 506 1
27 615 1
28 60 1
28 215 1
28 600 1
29 41 1
29 93 1
29 158 1
29 189 1
29 352 1
29 570 1
30 100 1
30 232 1
30 266 1
30 278 1
30 294 1
30 365 1
30 572 1
30 606 1
30 618 1
30 621 1
31 7 1
31 199 1
31 241 1
31 281 1
31 359 1
31 385 1
31 537 1
32 1 1
32 22 1
32 84 1
32 95 1
32 108 1
32 121 1
32 220 1
32 237 1
32 272 1
32 310 1
32 337 1
32 379 1
32 438 1
33 82 1
33 95 1
