vi vj e
0 345 1
0 620 1
0 628 1
0 682 1
0 747 1
1 277 1
1 385 1
1 408 1
1 719 1
1 725 1
2 9 1
2 140 1
2 328 1
2 487 1
2 554 1
2 562 1
2 578 1
2 693 1
2 721 1
3 349 1
3 387 1
3 765 1
4 20 1
4 317 1
4 366 1
4 373 1
4 807 1
5 90 1
5 118 1
5 183 1
5 334 1
5 619 1
5 633 1
6 38 1
6 85 1
6 324 1
6 376 1
6 548 1
6 677 1
6 782 1
6 816 1
7 163 1
7 217 1
7 389 1
7 443 1
7 635 1
8 224 1
8 242 1
8 329 1
8 431 1
8 585 1
8 684 1
8 816 1
8 818 1
9 14 1
9 116 1
9 144 1
9 195 1
9 366 1
10 119 1
10 175 1
10 370 1
10 474 1
10 525 1
10 700 1
10 748 1
10 794 1
10 810 1
11 2 1
11 147 1
11 195 1
11 196 1
11 320 1
11 489 1
11 493 1
11 522 1
11 547 1
11 658 1
11 738 1
12 49 1
12 198 1
12 294 1
12 402 1
12 408 1
12 553 1
12 711 1
12 809 1
13 8 1
13 63 1
13 206 1
13 386 1
13 487 1
13 680 1
13 719 1
13 777 1
13 815 1
14 21 1
14 309 1
14 403 1
14 554 1
14 715 1
14 769 1
14 804 1
15 90 1
15 131 1
15 246 1
15 250 1
15 282 1
15 364 1
15 596 1
16 27 1
16 152 1
16 317 1
16 407 1
16 433 1
16 472 1
17 163 1
17 266 1
17 496 1
17 497 1
17 592 1
17 777 1
18 46 1
18 145 1
18 159 1
18 421 1
19 87 1
19 93 1
19 103 1
19 241 1
19 258 1
19 314 1
19 335 1
19 391 1
19 531 1
19 589 1
19 614 1
19 771 1
20 63 1
20 140 1
20 260 1
20 324 1
20 325 1
20 330 1
20 331 1
20 552 1
21 63 1
21 88 1
21 140 1
21 344 1
21 459 1
21 513 1
21 620 1
21 784 1
22 14 1
22 135 1
22 221 1
22 500 1
22 582 1
22 584 1
22 689 1
22 712 1
23 69 1
23 93 1
23 165 1
23 319 1
23 558 1
24 279 1
24 694 1
24 772 1
25 17 1
25 46 1
25 119 1
25 269 1
25 282 1
25 401 1
25 587 1
25 805 1
26 111 1
26 141 1
26 640 1
26 664 1
27 81 1
27 584 1
27 622 1
27 715 1
27 782 1
27 813 1
28 239 1
28 246 1
28 322 1
28 327 1
28 333 1
28 390 1
28 539 1
28 608 1
28 802 1
29 8 1
29 77 1
29 125 1
29 179 1
29 456 1
29 519 1
29 632 1
29 708 1
30 134 1
30 136 1
30 155 1
30 166 1
30 341 1
30 419 1
30 481 1
30 793 1
31 155 1
31 514 1
31 557 1
31 708 1
31 784 1
32 139 1
32 234 1
32 392 1
32 410 1
32 449 1
32 712 1
32 740 1
33 44 1
33 102 1
33 320 1
33 453 1
33 483 1
33 680 1
33 743 1
34 60 1
34 63 1
34 118 1
34 167 1
34 202 1
34 213 1
34 286 1
34 288 1
34 289 1
34 320 1
34 390 1
34 563 1
34 597 1
34 786 1
35 92 1
35 131 1
35 174 1
35 240 1
35 410 1
35 694 1
35 719 1
35 724 1
35 772 1
36 66 1
36 119 1
36 149 1
36 443 1
36 458 1
36 462 1
36 549 1
36 564 1
36 643 1
36 695 1
37 130 1
37 182 1
37 216 1
37 474 1
37 683 1
37 686 1
37 700 1
37 797 1
38 54 1
38 161 1
38 194 1
38 286 1
38 371 1
38 451 1
38 459 1
38 621 1
38 777 1
38 798 1
39 152 1
39 192 1
39 365 1
39 422 1
39 483 1
39 603 1
39 710 1
39 816 1
40 77 1
40 327 1
40 357 1
40 702 1
40 817 1
41 10 1
41 315 1
41 345 1
41 513 1
41 615 1
41 641 1
41 761 1
41 802 1
42 99 1
42 118 1
42 226 1
42 243 1
42 549 1
43 114 1
43 186 1
43 238 1
43 278 1
43 291 1
43 588 1
43 601 1
44 144 1
44 291 1
44 293 1
44 369 1
44 413 1
44 738 1
45 153 1
45 207 1
45 376 1
45 597 1
45 676 1
45 750 1
45 766 1
46 223 1
46 298 1
46 377 1
46 402 1
46 773 1
47 119 1
47 156 1
47 162 1
47 171 1
47 331 1
47 413 1
47 527 1
47 685 1
47 725 1
47 747 1
48 198 1
49 65 1
49 145 1
49 228 1
49 243 1
49 284 1
49 388 1
49 569 1
49 795 1
50 11 1
50 60 1
50 63 1
50 155 1
50 415 1
50 451 1
50 462 1
50 585 1
50 795 1
51 234 1
51 295 1
51 348 1
51 358 1
51 400 1
51 422 1
51 445 1
51 543 1
51 654 1
51 738 1
52 21 1
52 241 1
52 337 1
52 503 1
52 810 1
53 137 1
53 272 1
53 299 1
53 373 1
53 535 1
53 582 1
53 613 1
53 709 1
54 62 1
54 225 1
54 257 1
54 289 1
54 350 1
54 364 1
54 435 1
54 469 1
54 564 1
55 367 1
55 549 1
56 111 1
56 196 1
56 744 1
57 3 1
57 125 1
57 128 1
57 163 1
57 185 1
57 201 1
58 68 1
58 520 1
58 662 1
58 686 1
59 13 1
59 279 1
59 301 1
59 522 1
59 751 1
60 396 1
60 408 1
60 413 1
60 530 1
60 532 1
60 536 1
60 619 1
60 724 1
61 183 1
61 195 1
61 258 1
61 405 1
61 492 1
61 605 1
61 786 1
61 808 1
62 166 1
62 180 1
62 199 1
62 358 1
62 420 1
62 667 1
62 725 1
63 72 1
63 76 1
63 139 1
63 230 1
63 254 1
63 318 1
63 332 1
63 363 1
63 377 1
63 606 1
63 644 1
63 796 1
64 335 1
64 361 1
64 446 1
64 496 1
64 559 1
64 566 1
65 233 1
65 306 1
65 374 1
65 402 1
65 567 1
65 577 1
65 711 1
65 791 1
66 86 1
66 151 1
66 207 1
66 299 1
66 403 1
66 671 1
66 691 1
67 125 1
67 199 1
67 222 1
67 553 1
68 101 1
68 253 1
68 307 1
68 467 1
68 486 1
68 585 1
68 745 1
68 782 1
68 809 1
69 241 1
69 377 1
69 392 1
70 94 1
70 114 1
70 261 1
70 487 1
70 689 1
71 130 1
71 166 1
71 259 1
71 494 1
71 521 1
71 529 1
71 757 1
71 802 1
72 273 1
72 341 1
72 591 1
72 725 1
72 737 1
72 808 1
73 2 1
73 34 1
73 428 1
73 599 1
73 702 1
73 769 1
74 4 1
74 113 1
74 125 1
74 378 1
74 400 1
74 473 1
74 528 1
74 565 1
74 749 1
74 775 1
75 36 1
75 370 1
75 376 1
75 593 1
75 762 1
76 202 1
76 451 1
76 474 1
76 637 1
77 51 1
77 58 1
77 113 1
77 234 1
77 466 1
77 687 1
78 61 1
78 163 1
78 191 1
78 205 1
78 244 1
78 268 1
78 358 1
78 363 1
78 376 1
79 272 1
79 601 1
79 626 1
79 696 1
79 794 1
79 800 1
80 61 1
80 67 1
80 203 1
80 304 1
80 374 1
80 563 1
80 730 1
81 32 1
81 125 1
81 146 1
81 162 1
81 339 1
