vi vj e
0 94 1
0 245 1
0 284 1
1 79 1
1 273 1
1 404 1
1 415 1
1 435 1
2 15 1
2 195 1
2 346 1
2 421 1
3 86 1
3 377 1
3 400 1
3 405 1
3 445 1
3 453 1
3 463 1
4 19 1
4 101 1
4 160 1
4 206 1
4 335 1
4 360 1
4 411 1
4 434 1
5 193 1
5 271 1
5 343 1
5 460 1
6 10 1
6 172 1
6 217 1
6 293 1
6 361 1
6 366 1
7 13 1
7 171 1
7 180 1
7 197 1
7 201 1
7 213 1
7 412 1
8 26 1
8 88 1
8 141 1
8 199 1
8 226 1
8 386 1
9 20 1
9 116 1
9 130 1
9 164 1
9 266 1
9 385 1
10 109 1
10 200 1
10 289 1
10 299 1
10 447 1
10 461 1
11 79 1
11 125 1
11 183 1
11 370 1
11 398 1
12 442 1
13 9 1
13 25 1
13 110 1
13 131 1
13 145 1
13 252 1
13 423 1
14 227 1
14 252 1
14 315 1
14 388 1
14 442 1
14 453 1
15 1 1
15 91 1
15 167 1
15 231 1
15 240 1
15 258 1
15 343 1
15 452 1
15 456 1
16 180 1
16 273 1
16 336 1
16 376 1
16 412 1
17 46 1
17 140 1
17 158 1
17 205 1
17 236 1
17 325 1
17 380 1
17 387 1
18 126 1
18 140 1
18 183 1
18 376 1
18 419 1
18 467 1
19 26 1
19 68 1
19 200 1
19 229 1
19 334 1
19 409 1
19 460 1
20 164 1
20 179 1
20 183 1
20 200 1
20 264 1
20 457 1
21 15 1
21 84 1
21 132 1
21 174 1
21 214 1
21 387 1
22 98 1
22 146 1
22 372 1
22 387 1
23 73 1
23 82 1
23 118 1
23 160 1
23 174 1
23 254 1
23 348 1
23 445 1
24 63 1
24 102 1
24 132 1
24 299 1
24 416 1
25 73 1
25 117 1
25 118 1
25 136 1
25 207 1
25 253 1
25 412 1
25 427 1
26 152 1
26 153 1
26 196 1
26 293 1
26 330 1
26 385 1
26 421 1
27 136 1
27 231 1
27 327 1
28 135 1
28 191 1
28 213 1
28 236 1
28 286 1
28 317 1
28 368 1
28 470 1
29 88 1
29 331 1
29 427 1
29 445 1
30 78 1
30 85 1
30 174 1
30 253 1
30 268 1
30 284 1
30 379 1
31 9 1
31 82 1
31 168 1
31 265 1
32 135 1
32 177 1
32 251 1
32 356 1
32 432 1
32 468 1
33 77 1
33 303 1
33 463 1
34 175 1
34 449 1
34 450 1
34 462 1
35 241 1
35 310 1
35 311 1
35 351 1
36 254 1
36 409 1
36 442 1
36 469 1
37 157 1
37 277 1
37 366 1
37 373 1
37 429 1
37 455 1
38 75 1
38 93 1
38 207 1
39 16 1
39 19 1
