vi vj e
0 506 1
0 522 1
1 28 1
1 137 1
1 489 1
1 510 1
2 37 1
2 151 1
2 180 1
2 191 1
2 209 1
2 217 1
2 223 1
2 266 1
2 425 1
2 467 1
2 469 1
2 486 1
3 454 1
4 167 1
4 207 1
4 453 1
5 105 1
5 143 1
5 308 1
6 82 1
6 98 1
6 179 1
6 284 1
6 315 1
6 439 1
6 530 1
7 49 1
7 223 1
7 253 1
7 345 1
7 398 1
8 55 1
8 180 1
8 235 1
8 403 1
8 415 1
9 125 1
9 344 1
10 28 1
10 59 1
10 151 1
10 224 1
10 233 1
10 449 1
11 64 1
11 69 1
11 70 1
11 152 1
11 195 1
11 226 1
11 477 1
12 159 1
12 271 1
12 304 1
12 440 1
12 463 1
13 39 1
13 63 1
13 175 1
13 426 1
14 37 1
14 129 1
14 281 1
15 101 1
15 156 1
15 186 1
15 206 1
15 217 1
15 227 1
15 339 1
15 427 1
15 484 1
15 511 1
16 18 1
16 125 1
16 168 1
16 194 1
16 350 1
16 363 1
16 466 1
17 170 1
17 212 1
17 311 1
17 319 1
17 334 1
18 81 1
18 268 1
18 297 1
18 357 1
18 417 1
18 486 1
19 36 1
19 126 1
19 172 1
19 348 1
19 474 1
20 254 1
20 289 1
20 322 1
21 114 1
21 127 1
21 279 1
21 318 1
21 489 1
21 504 1
22 239 1
22 385 1
22 490 1
23 13 1
23 41 1
23 294 1
24 104 1
24 335 1
24 389 1
25 106 1
25 198 1
25 250 1
25 255 1
25 314 1
25 321 1
25 396 1
25 484 1
26 111 1
26 212 1
26 244 1
26 303 1
26 412 1
27 10 1
27 108 1
27 201 1
27 324 1
27 448 1
27 468 1
28 69 1
28 123 1
28 136 1
28 173 1
28 196 1
28 260 1
28 291 1
28 332 1
28 437 1
28 490 1
29 125 1
29 139 1
29 171 1
29 495 1
30 532 1
31 21 1
31 163 1
31 230 1
31 389 1
31 442 1
31 481 1
31 515 1
32 134 1
32 376 1
32 431 1
33 156 1
33 362 1
34 156 1
34 202 1
34 327 1
34 437 1
34 486 1
34 500 1
35 118 1
35 263 1
35 387 1
35 483 1
35 524 1
36 16 1
36 52 1
36 361 1
36 429 1
36 446 1
36 470 1
37 144 1
37 397 1
37 478 1
37 497 1
38 18 1
38 134 1
38 497 1
39 201 1
39 324 1
39 445 1
39 482 1
39 530 1
40 110 1
40 191 1
40 350 1
40 421 1
41 4 1
41 56 1
41 358 1
42 90 1
42 186 1
42 220 1
42 276 1
42 299 1
42 342 1
42 409 1
42 423 1
43 6 1
43 195 1
43 337 1
43 411 1
43 415 1
43 416 1
43 458 1
43 497 1
44 42 1
44 229 1
44 282 1
44 355 1
44 467 1
44 524 1
45 42 1
45 197 1
45 218 1
45 310 1
45 322 1
45 385 1
45 516 1
46 194 1
46 528 1
47 42 1
47 205 1
47 268 1
47 446 1
47 491 1
48 217 1
48 485 1
49 55 1
49 167 1
49 222 1
49 303 1
49 437 1
49 478 1
49 503 1
50 129 1
50 363 1
50 369 1
50 383 1
50 465 1
50 491 1
51 125 1
51 145 1
51 192 1
51 422 1
51 464 1
51 481 1
51 487 1
52 2 1
52 175 1
52 184 1
52 208 1
52 331 1
52 460 1
52 513 1
52 525 1
53 21 1
53 259 1
53 389 1
53 491 1
53 520 1
54 10 1
54 337 1
54 348 1
54 392 1
55 37 1
55 130 1
55 145 1
55 156 1
55 344 1
55 404 1
55 442 1
56 12 1
56 21 1
56 254 1
56 342 1
56 360 1
56 464 1
56 514 1
56 533 1
57 26 1
57 156 1
57 466 1
57 503 1
58 60 1
58 116 1
58 122 1
58 143 1
58 159 1
58 170 1
58 240 1
58 247 1
58 262 1
58 469 1
59 86 1
59 124 1
59 164 1
59 353 1
59 532 1
60 10 1
60 15 1
60 239 1
60 294 1
60 465 1
60 479 1
61 56 1
61 73 1
61 218 1
61 490 1
62 68 1
63 91 1
63 151 1
63 152 1
63 246 1
63 501 1
63 516 1
64 68 1
64 146 1
64 357 1
64 411 1
65 77 1
65 119 1
65 157 1
65 239 1
65 300 1
65 328 1
65 357 1
66 1 1
66 7 1
66 114 1
66 149 1
66 177 1
66 244 1
66 314 1
67 185 1
67 264 1
67 273 1
67 393 1
67 401 1
67 423 1
68 127 1
68 197 1
68 248 1
68 406 1
68 484 1
69 204 1
69 330 1
69 426 1
69 463 1
69 502 1
70 2 1
70 65 1
70 191 1
70 216 1
70 318 1
70 338 1
71 34 1
72 28 1
72 452 1
72 508 1
72 512 1
73 124 1
73 178 1
73 241 1
74 58 1
74 235 1
74 264 1
74 325 1
74 458 1
75 501 1
76 183 1
76 197 1
76 367 1
76 477 1
76 513 1
77 2 1
77 171 1
77 191 1
77 434 1
77 491 1
78 104 1
78 476 1
78 508 1
79 36 1
79 49 1
79 171 1
79 293 1
79 395 1
80 27 1
80 343 1
80 365 1
81 15 1
81 166 1
81 417 1
81 463 1
82 35 1
82 43 1
82 55 1
82 134 1
82 152 1
82 177 1
82 189 1
82 250 1
82 288 1
82 388 1
82 454 1
83 190 1
83 365 1
83 404 1
83 496 1
84 344 1
84 363 1
84 415 1
84 489 1
84 495 1
84 502 1
85 274 1
85 301 1
85 305 1
86 29 1
86 116 1
86 198 1
86 234 1
86 406 1
86 508 1
86 517 1
87 136 1
87 173 1
87 523 1
88 343 1
88 528 1
89 14 1
89 262 1
89 387 1
89 406 1
90 83 1
90 84 1
90 108 1
90 269 1
90 415 1
90 497 1
90 516 1
91 329 1
91 361 1
92 45 1
92 332 1
92 357 1
92 436 1
93 144 1
93 271 1
93 412 1
93 444 1
94 129 1
94 371 1
94 438 1
95 471 1
96 119 1
96 372 1
96 498 1
97 179 1
97 361 1
97 381 1
98 144 1
99 168 1
99 321 1
99 334 1
99 429 1
99 479 1
100 81 1
100 272 1
100 409 1
101 59 1
101 75 1
101 100 1
101 165 1
101 205 1
101 331 1
101 420 1
101 473 1
102 16 1
102 171 1
102 188 1
102 234 1
102 407 1
103 49 1
103 58 1
103 146 1
103 165 1
103 352 1
104 36 1
104 200 1
104 425 1
104 445 1
104 502 1
105 79 1
105 179 1
105 279 1
105 297 1
106 201 1
106 526 1
107 52 1
107 394 1
108 73 1
108 250 1
108 355 1
108 401 1
108 403 1
108 493 1
109 40 1
109 140 1
109 248 1
109 251 1
109 269 1
109 373 1
110 196 1
110 225 1
110 483 1
111 390 1
111 520 1
112 96 1
112 199 1
112 306 1
112 350 1
112 400 1
113 221 1
113 225 1
114 11 1
114 288 1
114 408 1
115 198 1
116 25 1
116 132 1
116 444 1
116 509 1
117 56 1
117 196 1
117 213 1
117 424 1
117 474 1
118 70 1
118 198 1
118 396 1
119 60 1
119 76 1
119 156 1
119 232 1
119 271 1
119 460 1
119 482 1
119 493 1
119 507 1
120 44 1
120 52 1
120 253 1
120 308 1
120 375 1
121 186 1
121 356 1
122 145 1
122 396 1
122 413 1
123 105 1
123 170 1
123 185 1
123 350 1
124 82 1
124 174 1
124 205 1
124 211 1
124 224 1
124 262 1
124 272 1
124 355 1
124 449 1
125 18 1
125 87 1
125 156 1
125 233 1
125 268 1
125 391 1
125 407 1
125 481 1
125 532 1
126 136 1
126 151 1
126 170 1
126 457 1
126 474 1
127 43 1
127 58 1
127 86 1
127 151 1
127 233 1
127 532 1
128 33 1
128 181 1
128 242 1
128 281 1
128 505 1
129 16 1
129 165 1
129 414 1
130 402 1
131 528 1
132 509 1
133 489 1
134 51 1
134 61 1
134 99 1
134 244 1
134 482 1
135 50 1
135 78 1
135 102 1
135 143 1
135 230 1
135 282 1
136 7 1
136 90 1
136 157 1
136 226 1
136 248 1
136 250 1
136 299 1
137 2 1
137 33 1
137 88 1
137 503 1
138 45 1
138 78 1
138 241 1
138 377 1
139 172 1
139 217 1
139 478 1
139 514 1
140 47 1
140 229 1
140 284 1
140 384 1
141 97 1
141 144 1
141 256 1
141 338 1
141 382 1
141 523 1
142 198 1
142 419 1
142 456 1
143 203 1
143 249 1
143 290 1
144 50 1
144 71 1
144 169 1
144 216 1
144 231 1
144 236 1
144 289 1
144 296 1
144 323 1
144 399 1
144 444 1
145 11 1
145 107 1
145 198 1
145 231 1
145 405 1
145 470 1
145 505 1
146 105 1
146 128 1
146 173 1
146 349 1
146 379 1
147 22 1
147 161 1
147 204 1
147 250 1
147 285 1
147 339 1
148 118 1
149 8 1
149 203 1
149 281 1
149 321 1
149 517 1
150 250 1
151 26 1
151 59 1
151 138 1
