vi vj e
0 85 1
0 110 1
0 159 1
0 466 1
1 49 1
1 149 1
1 208 1
1 309 1
1 311 1
1 466 1
2 31 1
2 176 1
2 302 1
2 314 1
2 381 1
3 145 1
3 196 1
3 298 1
3 324 1
3 363 1
4 60 1
4 122 1
4 142 1
4 143 1
4 217 1
4 378 1
4 415 1
4 442 1
5 91 1
5 189 1
5 211 1
5 241 1
5 270 1
5 315 1
5 337 1
5 396 1
5 399 1
5 413 1
5 465 1
6 68 1
6 72 1
6 96 1
6 192 1
6 193 1
6 330 1
6 362 1
6 365 1
7 27 1
7 69 1
7 396 1
7 399 1
7 442 1
8 30 1
8 45 1
8 87 1
8 130 1
8 173 1
8 240 1
8 314 1
8 387 1
8 408 1
8 466 1
9 45 1
9 107 1
9 253 1
9 260 1
9 271 1
9 410 1
9 455 1
10 9 1
10 134 1
10 147 1
10 222 1
10 265 1
10 267 1
10 287 1
10 299 1
10 393 1
11 120 1
11 122 1
11 252 1
11 370 1
12 27 1
12 33 1
12 41 1
12 244 1
12 297 1
12 332 1
12 458 1
12 469 1
13 101 1
13 230 1
13 336 1
13 339 1
13 369 1
13 441 1
13 457 1
14 104 1
14 167 1
14 360 1
15 79 1
15 239 1
15 346 1
15 405 1
15 436 1
16 266 1
16 403 1
17 79 1
17 189 1
17 356 1
17 376 1
17 448 1
18 97 1
18 175 1
18 201 1
18 217 1
18 303 1
18 363 1
18 428 1
19 239 1
19 267 1
19 278 1
19 295 1
19 296 1
20 18 1
20 120 1
20 156 1
20 175 1
20 252 1
20 349 1
21 0 1
21 30 1
21 106 1
21 141 1
21 228 1
21 264 1
21 292 1
21 385 1
21 422 1
22 2 1
22 47 1
22 115 1
22 199 1
22 254 1
22 343 1
22 386 1
22 388 1
22 389 1
23 182 1
23 199 1
23 291 1
23 330 1
23 349 1
24 56 1
24 177 1
24 203 1
24 222 1
24 288 1
24 307 1
24 435 1
24 463 1
25 336 1
26 22 1
26 140 1
26 150 1
26 155 1
26 176 1
26 334 1
26 376 1
27 21 1
27 44 1
27 53 1
27 123 1
27 133 1
27 175 1
27 211 1
27 269 1
27 387 1
27 404 1
27 418 1
28 117 1
28 399 1
28 441 1
28 462 1
29 83 1
29 175 1
29 353 1
29 357 1
29 358 1
29 427 1
30 24 1
30 173 1
30 237 1
30 272 1
30 304 1
31 63 1
31 70 1
31 83 1
31 149 1
31 165 1
31 177 1
31 366 1
31 377 1
32 4 1
32 114 1
32 126 1
32 300 1
32 375 1
32 419 1
33 31 1
33 116 1
33 155 1
33 204 1
33 239 1
33 276 1
33 366 1
34 121 1
34 123 1
34 171 1
34 200 1
34 261 1
34 368 1
35 4 1
35 216 1
35 350 1
35 386 1
35 441 1
36 63 1
36 64 1
36 138 1
36 148 1
36 158 1
36 166 1
36 181 1
36 302 1
36 379 1
36 455 1
37 451 1
37 453 1
38 15 1
38 110 1
38 242 1
38 260 1
38 288 1
38 322 1
38 352 1
38 368 1
39 7 1
39 212 1
39 215 1
39 243 1
39 304 1
39 371 1
39 385 1
39 397 1
39 412 1
39 460 1
40 51 1
40 175 1
40 206 1
40 213 1
40 347 1
40 433 1
40 440 1
40 460 1
41 23 1
41 48 1
41 272 1
41 283 1
41 325 1
41 339 1
41 346 1
41 416 1
42 94 1
42 114 1
42 120 1
42 207 1
42 332 1
43 64 1
43 78 1
43 266 1
43 353 1
43 440 1
43 456 1
44 148 1
44 164 1
44 166 1
44 239 1
44 280 1
44 324 1
44 423 1
44 441 1
44 465 1
45 44 1
45 102 1
45 159 1
45 163 1
45 206 1
45 215 1
45 345 1
45 373 1
45 380 1
45 384 1
45 418 1
46 3 1
46 133 1
46 212 1
46 261 1
46 380 1
46 470 1
47 29 1
47 93 1
47 329 1
47 336 1
47 356 1
47 375 1
48 3 1
48 10 1
48 50 1
48 54 1
48 183 1
48 332 1
48 385 1
49 54 1
49 90 1
49 135 1
49 139 1
49 181 1
49 206 1
49 207 1
49 237 1
49 312 1
49 338 1
49 358 1
49 431 1
50 29 1
50 194 1
50 199 1
50 229 1
50 389 1
50 399 1
51 2 1
51 12 1
51 78 1
51 167 1
51 297 1
51 303 1
51 354 1
52 61 1
52 143 1
52 313 1
52 333 1
52 344 1
52 364 1
52 390 1
52 433 1
53 8 1
53 10 1
53 15 1
53 36 1
53 42 1
53 45 1
53 110 1
53 176 1
53 253 1
53 277 1
53 320 1
53 408 1
54 59 1
54 143 1
54 154 1
54 224 1
54 263 1
54 271 1
54 424 1
55 22 1
55 78 1
55 246 1
55 271 1
55 282 1
55 365 1
55 396 1
55 415 1
55 447 1
55 452 1
56 47 1
56 138 1
56 145 1
56 154 1
56 350 1
56 362 1
56 368 1
57 36 1
57 75 1
57 77 1
57 223 1
57 405 1
58 44 1
58 156 1
58 219 1
58 278 1
